UTM-X,UTM-Y,Depth,Lat,Lon
420864,4.48E+06,68.4001,40.506,-69.934
476424,4.48E+06,73.6021,40.4594,-69.2781
526428,4.47E+06,85.239,40.4093,-68.6885
441236,4.48E+06,69.6382,40.491,-69.6934
459756,4.48E+06,64.4726,40.4755,-69.4748
494944,4.48E+06,78.5535,40.4431,-69.0596
422716,4.48E+06,68.833,40.5062,-69.9122
511612,4.48E+06,78.1204,40.4263,-68.8631
543096,4.47E+06,100.091,40.3919,-68.4922
478276,4.48E+06,75.2915,40.4595,-69.2562
528280,4.47E+06,88.3646,40.4092,-68.6667
443088,4.48E+06,69.0585,40.4912,-69.6716
461608,4.48E+06,63.7988,40.4756,-69.4529
424568,4.48E+06,69.1028,40.5064,-69.8903
496796,4.48E+06,78.7437,40.4431,-69.0378
513464,4.48E+06,78.903,40.4263,-68.8413
480128,4.48E+06,73.9393,40.4595,-69.2344
544948,4.47E+06,103.224,40.3918,-68.4704
444940,4.48E+06,68.6023,40.4913,-69.6497
530132,4.47E+06,88.5532,40.4092,-68.6449
463460,4.48E+06,65.3146,40.4756,-69.4311
426420,4.48E+06,69.1583,40.5065,-69.8685
498648,4.48E+06,76.1798,40.4431,-69.0159
481980,4.48E+06,76.5122,40.4596,-69.2125
515316,4.48E+06,77.4778,40.4262,-68.8194
446792,4.48E+06,68.2081,40.4914,-69.6279
465312,4.48E+06,67.2709,40.4757,-69.4092
428272,4.48E+06,69.918,40.5067,-69.8466
531984,4.47E+06,89.1875,40.4091,-68.6231
500500,4.48E+06,75.5229,40.4431,-68.9941
